Run #1	Run #1
Time (s)	Voltage (V)
0.000	3.364
0.050	3.359
0.100	3.364
0.150	3.369
0.200	3.364
0.250	3.359
0.300	3.364
0.350	3.364
0.400	3.364
0.450	3.359
0.500	3.364
0.550	3.359
0.600	3.364
0.650	3.359
0.700	3.364
0.750	3.364
0.800	3.369
0.850	3.359
0.900	3.364
0.950	3.359
1.000	3.364
1.050	3.364
1.100	3.364
1.150	3.359
1.200	3.354
1.250	3.359
1.300	3.359
1.350	3.359
1.400	3.359
1.450	3.359
1.500	3.359
1.550	3.364
1.600	3.364
1.650	3.364
1.700	3.364
1.750	3.369
1.800	3.369
1.850	3.364
1.900	3.364
1.950	3.364
2.000	3.359
2.050	3.369
2.100	3.359
2.150	3.364
2.200	3.369
2.250	3.364
2.300	3.369
2.350	3.364
2.400	3.364
2.450	3.364
2.500	3.369
2.550	3.369
2.600	3.369
2.650	3.364
2.700	3.364
2.750	3.369
2.800	3.364
2.850	3.364
2.900	3.369
2.950	3.364
3.000	3.369
3.050	3.369
3.100	3.369
3.150	3.364
3.200	3.364
3.250	3.364
3.300	3.374
3.350	3.369
3.400	3.369
3.450	3.364
3.500	3.369
3.550	3.364
3.600	3.364
3.650	3.364
3.700	3.364
3.750	3.369
3.800	3.369
3.850	3.369
3.900	3.364
3.950	3.369
4.000	3.364
4.050	3.364
4.100	3.369
4.150	3.369
4.200	3.364
4.250	3.364
4.300	3.369
4.350	3.369
4.400	3.369
4.450	3.369
4.500	3.369
4.550	3.364
4.600	3.369
4.650	3.369
4.700	3.364
4.750	3.364
4.800	3.369
4.850	3.369
4.900	3.364
4.950	3.364
5.000	3.364
5.050	3.369
5.100	3.364
5.150	3.369
5.200	3.369
5.250	3.364
5.300	3.364
5.350	3.369
5.400	3.369
5.450	3.369
5.500	3.369
5.550	3.364
5.600	3.369
5.650	3.369
5.700	3.364
5.750	3.364
5.800	3.369
5.850	3.369
5.900	3.364
5.950	3.364
6.000	3.364
6.050	3.364
6.100	3.369
6.150	3.374
6.200	3.359
6.250	3.369
6.300	3.364
6.350	3.369
6.400	3.369
6.450	3.364
6.500	3.364
6.550	3.369
6.600	3.369
6.650	3.364
6.700	3.369
6.750	3.364
6.800	3.364
6.850	3.364
6.900	3.364
6.950	3.364
7.000	3.364
7.050	3.359
7.100	3.359
7.150	3.359
7.200	3.359
7.250	3.359
7.300	3.359
7.350	3.359
7.400	3.359
7.450	3.359
7.500	3.359
7.550	3.359
7.600	3.359
7.650	3.364
7.700	3.359
7.750	3.306
7.800	3.198
7.850	3.198
7.900	3.193
7.950	3.198
8.000	3.198
8.050	3.198
8.100	3.193
8.150	3.198
8.200	3.198
8.250	3.198
8.300	3.203
8.350	3.198
8.400	3.198
8.450	3.296
8.500	3.345
8.550	3.369
8.600	3.369
8.650	3.315
8.700	3.286
8.750	3.286
8.800	3.291
8.850	3.286
8.900	3.286
8.950	3.286
9.000	3.286
9.050	3.286
9.100	3.286
9.150	3.291
9.200	3.286
9.250	3.291
9.300	3.315
9.350	3.364
9.400	3.374
9.450	3.369
9.500	3.364
9.550	3.369
9.600	3.369
9.650	3.369
9.700	3.364
9.750	3.369
9.800	3.369
9.850	3.369
9.900	3.369
9.950	3.369
10.000	3.364
10.050	3.364
10.100	3.359
10.150	3.369
10.200	3.369
10.250	3.369
10.300	3.364
10.350	3.369
10.400	3.364
10.450	3.369
10.500	3.379
10.550	3.364
10.600	3.364
10.650	3.364
10.700	3.359
10.750	3.364
10.800	3.364
10.850	3.369
10.900	3.364
10.950	3.369
11.000	3.359
11.050	3.369
11.100	3.369
11.150	3.369
11.200	3.364
11.250	3.369
11.300	3.364
11.350	3.364
11.400	3.364
11.450	3.359
11.500	3.364
11.550	3.364
11.600	3.369
11.650	3.369
11.700	3.364
11.750	3.369
11.800	3.364
11.850	3.364
11.900	3.364
11.950	3.369
12.000	3.364
12.050	3.364
12.100	3.369
12.150	3.364
12.200	3.364
12.250	3.369
12.300	3.364
12.350	3.364
12.400	3.369
12.450	3.369
12.500	3.364
12.550	3.364
12.600	3.364
12.650	3.359
12.700	3.364
12.750	3.364
12.800	3.364
12.850	3.364
12.900	3.364
12.950	3.364
13.000	3.364
13.050	3.369
13.100	3.364
13.150	3.369
13.200	3.359
13.250	3.369
13.300	3.369
13.350	3.364
13.400	3.369
13.450	3.364
13.500	3.364
13.550	3.364
13.600	3.364
13.650	3.369
13.700	3.364
13.750	3.364
13.800	3.369
13.850	3.369
13.900	3.364
13.950	3.364
14.000	3.364
14.050	3.369
14.100	3.364
14.150	3.364
14.200	3.364
14.250	3.364
14.300	3.364
14.350	3.369
14.400	3.369
14.450	3.369
14.500	3.364
14.550	3.369
14.600	3.364
14.650	3.364
14.700	3.364
14.750	3.369
14.800	3.364
14.850	3.364
14.900	3.364
14.950	3.369
15.000	3.354
15.050	3.364
15.100	3.364
15.150	3.369
15.200	3.364
15.250	3.364
15.300	3.364
15.350	3.369
15.400	3.364
15.450	3.369
15.500	3.364
15.550	3.364
15.600	3.364
15.650	3.374
15.700	3.369
15.750	3.369
15.800	3.364
15.850	3.364
15.900	3.364
15.950	3.369
16.000	3.369
16.050	3.364
16.100	3.364
16.150	3.369
16.200	3.364
16.250	3.364
16.300	3.364
16.350	3.374
16.400	3.364
16.450	3.379
16.500	3.364
16.550	3.369
16.600	3.369
16.650	3.364
16.700	3.364
16.750	3.369
16.800	3.364
16.850	3.369
16.900	3.364
16.950	3.369
17.000	3.359
17.050	3.369
17.100	3.369
17.150	3.369
17.200	3.364
17.250	3.364
17.300	3.369
17.350	3.364
17.400	3.364
17.450	3.369
17.500	3.364
17.550	3.369
17.600	3.364
17.650	3.369
17.700	3.364
17.750	3.369
17.800	3.364
17.850	3.369
17.900	3.364
17.950	3.369
18.000	3.364
18.050	3.369
18.100	3.359
18.150	3.364
18.200	3.364
18.250	3.364
18.300	3.364
18.350	3.364
18.400	3.369
18.450	3.364
18.500	3.369
18.550	3.364
18.600	3.364
18.650	3.364
18.700	3.364
18.750	3.369
18.800	3.364
18.850	3.359
18.900	3.364
18.950	3.369
19.000	3.364
19.050	3.369
19.100	3.364
19.150	3.369
19.200	3.364
19.250	3.369
19.300	3.364
19.350	3.369
19.400	3.364
19.450	3.369
19.500	3.364
19.550	3.364
19.600	3.369
19.650	3.369
19.700	3.364
19.750	3.369
19.800	3.364
19.850	3.364
19.900	3.364
19.950	3.369
20.000	3.364
20.050	3.364
20.100	3.364
20.150	3.374
20.200	3.364
20.250	3.369
20.300	3.359
20.350	3.369
20.400	3.364
20.450	3.364
20.500	3.364
20.550	3.364
20.600	3.364
20.650	3.369
20.700	3.364
20.750	3.364
20.800	3.364
20.850	3.364
20.900	3.364
20.950	3.369
21.000	3.369
21.050	3.364
21.100	3.364
21.150	3.364
21.200	3.364
21.250	3.364
21.300	3.364
21.350	3.364
21.400	3.364
21.450	3.364
21.500	3.364
21.550	3.359
21.600	3.364
21.650	3.364
21.700	3.364
21.750	3.364
21.800	3.364
21.850	3.364
21.900	3.364
21.950	3.364
22.000	3.364
22.050	3.364
22.100	3.379
22.150	3.364
22.200	3.364
22.250	3.364
22.300	3.364
22.350	3.364
22.400	3.369
22.450	3.369
22.500	3.364
22.550	3.369
22.600	3.364
22.650	3.369
22.700	3.364
22.750	3.379
22.800	3.364
22.850	3.364
22.900	3.364
22.950	3.364
23.000	3.364
23.050	3.359
23.100	3.364
23.150	3.364
23.200	3.364
23.250	3.379
23.300	3.364
23.350	3.369
23.400	3.364
23.450	3.364
23.500	3.364
23.550	3.364
23.600	3.364
23.650	3.364
23.700	3.364
23.750	3.364
23.800	3.364
23.850	3.364
23.900	3.364
23.950	3.364
24.000	3.364
24.050	3.359
24.100	3.364
24.150	3.364
24.200	3.364
24.250	3.364
24.300	3.364
24.350	3.364
24.400	3.369
24.450	3.369
24.500	3.369
24.550	3.359
24.600	3.364
24.650	3.364
24.700	3.364
24.750	3.364
24.800	3.369
24.850	3.369
24.900	3.369
24.950	3.364
25.000	3.364
25.050	3.364
25.100	3.369
25.150	3.364
25.200	3.364
25.250	3.364
25.300	3.364
25.350	3.369
25.400	3.364
25.450	3.364
25.500	3.369
25.550	3.364
25.600	3.364
25.650	3.359
25.700	3.364
25.750	3.364
25.800	3.364
25.850	3.364
25.900	3.364
25.950	3.364
26.000	3.364
26.050	3.364
26.100	3.364
26.150	3.359
26.200	3.364
26.250	3.364
26.300	3.369
26.350	3.364
26.400	3.364
26.450	3.364
26.500	3.364
26.550	3.364
26.600	3.364
26.650	3.364
26.700	3.359
26.750	3.364
26.800	3.364
26.850	3.364
26.900	3.364
26.950	3.364
27.000	3.364
27.050	3.364
27.100	3.364
27.150	3.364
27.200	3.364
27.250	3.359
27.300	3.364
27.350	3.364
27.400	3.369
27.450	3.359
27.500	3.369
27.550	3.364
27.600	3.364
27.650	3.354
27.700	3.364
27.750	3.364
27.800	3.364
27.850	3.379
27.900	3.364
27.950	3.364
28.000	3.359
28.050	3.364
28.100	3.364
28.150	3.364
28.200	3.364
28.250	3.354
28.300	3.364
28.350	3.364
28.400	3.364
28.450	3.359
28.500	3.364
28.550	3.364
