Run #1	Run #1
Time (s)	Voltage (V)
0.000	3.457
0.050	3.452
0.100	3.457
0.150	3.457
0.200	3.457
0.250	3.457
0.300	3.452
0.350	3.452
0.400	3.457
0.450	3.457
0.500	3.457
0.550	3.457
0.600	3.457
0.650	3.457
0.700	3.457
0.750	3.457
0.800	3.452
0.850	3.452
0.900	3.452
0.950	3.457
1.000	3.452
1.050	3.457
1.100	3.457
1.150	3.457
1.200	3.452
1.250	3.457
1.300	3.452
1.350	3.457
1.400	3.457
1.450	3.457
1.500	3.457
1.550	3.457
1.600	3.452
1.650	3.457
1.700	3.457
1.750	3.452
1.800	3.452
1.850	3.452
1.900	3.452
1.950	3.457
2.000	3.452
2.050	3.457
2.100	3.452
2.150	3.457
2.200	3.452
2.250	3.457
2.300	3.452
2.350	3.452
2.400	3.452
2.450	3.457
2.500	3.452
2.550	3.457
2.600	3.457
2.650	3.452
2.700	3.452
2.750	3.452
2.800	3.452
2.850	3.452
2.900	3.452
2.950	3.452
3.000	3.452
3.050	3.452
3.100	3.452
3.150	3.452
3.200	3.447
3.250	3.452
3.300	3.447
3.350	3.452
3.400	3.452
3.450	3.452
3.500	3.452
3.550	3.452
3.600	3.452
3.650	3.452
3.700	3.447
3.750	3.452
3.800	3.447
3.850	3.447
3.900	3.447
3.950	3.447
4.000	3.447
4.050	3.447
4.100	3.447
4.150	3.447
4.200	3.447
4.250	3.447
4.300	3.442
4.350	3.447
4.400	3.447
4.450	3.447
4.500	3.442
4.550	3.442
4.600	3.442
4.650	3.442
4.700	3.442
4.750	3.442
4.800	3.442
4.850	3.442
4.900	3.438
4.950	3.442
5.000	3.438
5.050	3.442
5.100	3.438
5.150	3.438
5.200	3.438
5.250	3.438
5.300	3.438
5.350	3.438
5.400	3.438
5.450	3.438
5.500	3.438
5.550	3.438
5.600	3.433
5.650	3.438
5.700	3.433
5.750	3.433
5.800	3.433
5.850	3.433
5.900	3.428
5.950	3.433
6.000	3.428
6.050	3.428
6.100	3.428
6.150	3.428
6.200	3.428
6.250	3.428
6.300	3.423
6.350	3.428
6.400	3.423
6.450	3.423
6.500	3.423
6.550	3.423
6.600	3.418
6.650	3.423
6.700	3.418
6.750	3.418
6.800	3.418
6.850	3.418
6.900	3.418
6.950	3.418
7.000	3.418
7.050	3.418
7.100	3.418
7.150	3.418
7.200	3.418
7.250	3.418
7.300	3.418
7.350	3.418
7.400	3.413
7.450	3.418
7.500	3.413
7.550	3.418
7.600	3.413
7.650	3.418
7.700	3.418
7.750	3.413
7.800	3.413
7.850	3.413
7.900	3.413
7.950	3.413
8.000	3.408
8.050	3.413
8.100	3.413
8.150	3.413
8.200	3.413
8.250	3.413
8.300	3.408
8.350	3.413
8.400	3.408
8.450	3.413
8.500	3.408
8.550	3.408
8.600	3.408
8.650	3.413
8.700	3.408
8.750	3.413
8.800	3.408
8.850	3.413
8.900	3.408
8.950	3.413
9.000	3.408
9.050	3.413
9.100	3.408
9.150	3.413
9.200	3.408
9.250	3.413
9.300	3.408
9.350	3.413
9.400	3.408
9.450	3.413
9.500	3.413
9.550	3.413
9.600	3.413
9.650	3.413
9.700	3.413
9.750	3.418
9.800	3.413
9.850	3.418
9.900	3.413
9.950	3.418
10.000	3.418
10.050	3.418
10.100	3.418
10.150	3.418
10.200	3.418
10.250	3.423
10.300	3.418
10.350	3.418
10.400	3.418
10.450	3.423
10.500	3.423
10.550	3.423
10.600	3.423
10.650	3.423
10.700	3.423
10.750	3.423
10.800	3.423
10.850	3.423
10.900	3.423
10.950	3.423
11.000	3.423
11.050	3.428
11.100	3.423
11.150	3.428
11.200	3.428
11.250	3.428
11.300	3.428
11.350	3.428
11.400	3.423
11.450	3.428
11.500	3.428
11.550	3.428
11.600	3.428
11.650	3.433
11.700	3.433
11.750	3.433
11.800	3.433
11.850	3.433
11.900	3.433
11.950	3.438
12.000	3.433
12.050	3.438
12.100	3.433
12.150	3.438
12.200	3.433
12.250	3.438
12.300	3.438
12.350	3.438
12.400	3.438
12.450	3.438
12.500	3.438
12.550	3.438
12.600	3.438
12.650	3.438
12.700	3.438
12.750	3.438
12.800	3.438
12.850	3.438
12.900	3.438
12.950	3.438
13.000	3.438
13.050	3.442
13.100	3.438
13.150	3.442
13.200	3.438
13.250	3.442
13.300	3.438
13.350	3.442
13.400	3.438
13.450	3.442
13.500	3.438
13.550	3.442
13.600	3.442
13.650	3.442
13.700	3.438
13.750	3.438
13.800	3.438
13.850	3.442
13.900	3.442
13.950	3.442
14.000	3.442
14.050	3.442
14.100	3.442
14.150	3.442
14.200	3.442
14.250	3.442
14.300	3.442
14.350	3.442
14.400	3.442
14.450	3.447
14.500	3.442
14.550	3.447
14.600	3.442
14.650	3.442
14.700	3.442
14.750	3.447
14.800	3.447
14.850	3.442
14.900	3.442
14.950	3.447
15.000	3.442
15.050	3.447
15.100	3.447
15.150	3.447
15.200	3.447
15.250	3.447
15.300	3.447
15.350	3.447
15.400	3.442
15.450	3.447
15.500	3.447
15.550	3.447
15.600	3.447
15.650	3.447
15.700	3.447
15.750	3.447
15.800	3.447
15.850	3.447
15.900	3.447
15.950	3.447
16.000	3.447
16.050	3.447
16.100	3.442
16.150	3.447
16.200	3.447
16.250	3.447
16.300	3.442
16.350	3.447
16.400	3.442
16.450	3.447
16.500	3.442
16.550	3.442
16.600	3.447
16.650	3.447
16.700	3.442
16.750	3.447
16.800	3.447
16.850	3.447
16.900	3.442
16.950	3.447
17.000	3.442
17.050	3.447
17.100	3.442
17.150	3.447
17.200	3.447
17.250	3.442
17.300	3.442
17.350	3.442
17.400	3.442
17.450	3.442
17.500	3.442
17.550	3.442
17.600	3.442
17.650	3.442
17.700	3.442
17.750	3.442
17.800	3.442
17.850	3.442
17.900	3.442
17.950	3.438
18.000	3.442
